what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.jmx.core,1.0.0.GA-R200905070146-H18,org.jboss.tools.jmx.core,1244296462484
started,bundle,org.jboss.tools.jsf,3.0.1.GA-R200905070146-H18,org.jboss.tools.jsf,1244296462484
started,bundle,org.jboss.tools.jsf.ui,3.0.1.GA-R200905070146-H18,org.jboss.tools.jsf.ui,1244296462500
started,bundle,org.jboss.tools.jsf.verification,3.0.1.GA-R200905070146-H18,org.jboss.tools.jsf.verification,1244296462500
started,bundle,org.jboss.tools.jst.web.tiles,3.0.1.GA-R200905070146-H18,org.jboss.tools.jst.web.tiles,1244296462500
started,bundle,org.jboss.tools.jst.web.ui,3.0.1.GA-R200905070146-H18,org.jboss.tools.jst.web.ui,1244296462531
started,bundle,org.jboss.tools.jst.web.verification,3.0.1.GA-R200905070146-H18,org.jboss.tools.jst.web.verification,1244296462531
started,bundle,org.jboss.tools.seam.core,3.0.1.GA-R200905070146-H18,org.jboss.tools.seam.core,1244296462531
started,bundle,org.jboss.tools.seam.pages.xml,3.0.1.GA-R200905070146-H18,org.jboss.tools.seam.pages.xml,1244296462671
started,bundle,org.jboss.tools.seam.ui,3.0.1.GA-R200905070146-H18,org.jboss.tools.seam.ui,1244296462671
started,bundle,org.jboss.tools.seam.xml,3.0.1.GA-R200905070146-H18,org.jboss.tools.seam.xml,1244296462843
started,bundle,org.jboss.tools.smooks.ui,1.0.0.GA-R200905070146-H18,org.jboss.tools.smooks.ui,1244296462843
started,bundle,org.jboss.tools.struts,3.0.0.GA-R200905070146-H18,org.jboss.tools.struts,1244296462843
started,bundle,org.jboss.tools.struts.ui,3.0.0.GA-R200905070146-H18,org.jboss.tools.struts.ui,1244296462843
started,bundle,org.jboss.tools.struts.verification,3.0.0.GA-R200905070146-H18,org.jboss.tools.struts.verification,1244296462843
started,bundle,org.jboss.tools.vpe,3.0.1.GA-R200905070146-H18,org.jboss.tools.vpe,1244296462843
started,bundle,org.jboss.tools.vpe.xulrunner,3.0.1.GA-R200905070146-H18,org.jboss.tools.vpe.xulrunner,1244296462843
started,bundle,org.eclipse.wst.wsdl.validation,1.1.301.v200805140300,org.eclipse.wst.wsdl.validation,1244296463109
started,bundle,org.eclipse.jst.jsp.core,1.2.100.v200806050300,org.eclipse.jst.jsp.core,1244296463828
started,bundle,org.eclipse.epp.usagedata.ui,1.0.0.R200806162215,org.eclipse.epp.usagedata.ui,1244296463890
started,bundle,org.eclipse.wst.jsdt.core,1.0.0.v200805291857,org.eclipse.wst.jsdt.core,1244296467656
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.0.v200805221604,org.eclipse.wst.jsdt.web.core,1244296467875
started,bundle,org.eclipse.jpt.core,2.0.0.v200805220000,org.eclipse.jpt.core,1244296468187
started,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1244296468828
started,bundle,org.eclipse.jst.j2ee.web,1.1.200.v200806051600,org.eclipse.jst.j2ee.web,1244296469015
