what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601610937
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601612812
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601625609
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601627546
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1243601627562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601639593
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601645281
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601651656
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601688984
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601691125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601727687
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1243601729234
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1243601750250
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1243601750500
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1243601750703
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1243601752406
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601754906
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601828375
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601835687
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601838921
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601849468
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243601859968
opened,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1243601868765
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1243601868843
started,bundle,org.eclipse.wst.html.core,1.1.200.v200806050300,org.eclipse.wst.html.core,1243601869015
