what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047344562
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1131047377109
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1131047380312
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1131047382593
started,bundle,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui",1131047382625
started,bundle,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.ui",1131047382812
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1131047383453
opened,editor,org.eclipse.jpt.ui,2.2.0.v200905310000,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1131047383515
activated,editor,org.eclipse.jpt.ui,2.2.0.v200905310000,"org.eclipse.jpt.ui.internal.editors.PersistenceEditor",1131047383781
started,bundle,org.eclipse.jst.jsf.ui,1.2.0.v20090427,"org.eclipse.jst.jsf.ui",1131047384281
started,bundle,org.eclipse.jst.j2ee.jca,1.1.300.v200903120000,"org.eclipse.jst.j2ee.jca",1131047384343
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1131047384375
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.300.v200904230730,"org.eclipse.jst.j2ee.ejb",1131047384406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047395140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047416812
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1131047420453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047443078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047446125
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ResourceNavigator",1131047453421
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ResourceNavigator",1131047453453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1131047453453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047461546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047461546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047461625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047585718
