what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.v200806070500,org.eclipse.datatools.sqltools.sqlbuilder,1243604396968
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200806021003,org.eclipse.datatools.sqltools.sqlscrapbook,1243604396968
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200805152355,org.eclipse.datatools.sqltools.sqleditor,1243604396968
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.0.100.v200805140145,org.eclipse.wst.server.preview.adapter,1243604396968
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.100.v200805140145,org.eclipse.wst.server.http.ui,1243604396968
stopped,bundle,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui,1243604396968
stopped,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1243604397031
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk,1243604397046
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.0.v20080530-1237,org.eclipse.equinox.p2.ui,1243604397046
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1243604397046
stopped,bundle,org.eclipse.jpt.doc.user,1.0.100.v200805280000,org.eclipse.jpt.doc.user,1243604397046
stopped,bundle,org.jboss.tools.project.examples,1.0.0.GA-R200905070146-H18,org.jboss.tools.project.examples,1243604397046
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.100.v20080508,org.eclipse.ui.cheatsheets,1243604397046
stopped,bundle,org.hibernate.eclipse.help,3.2.4.GA-R200905070146-H18,org.hibernate.eclipse.help,1243604397046
stopped,bundle,org.eclipse.help.ui,3.3.100.v20080521,org.eclipse.help.ui,1243604397046
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1243604397046
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1243604397046
stopped,bundle,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser,1243604397046
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.1.0.v200805310400,org.eclipse.datatools.sqltools.data.ui,1243604397046
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.asa,1243604397046
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v200805152355,org.eclipse.datatools.enablement.sybase.asa.models,1243604397046
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200806040735,org.eclipse.datatools.enablement.sybase.ase,1243604397046
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.models,1.0.1.v200805152355,org.eclipse.datatools.enablement.sybase.ase.models,1243604397046
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200806041138,org.eclipse.datatools.enablement.sybase.ui,1243604397046
stopped,bundle,org.eclipse.datatools.enablement.sybase,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase,1243604397046
