what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1131047590312
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1131047593921
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1131047593968
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1131047594015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047610703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047610703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047610796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047667687
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1131047669796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047676390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047676390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047676484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047694718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047696593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047696625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131047696625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257279135703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257279139296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257279140890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257279140968
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257279142890
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257279143531
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1257279144750
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1257279144750
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1257279144750
